episode_id,title,source_file,turns,chunks,has_pii,notes
elizabeth-stone,Elizabeth Stone,Elizabeth Stone.txt,144,45,False,
emilie-gerber,Emilie Gerber,Emilie Gerber.txt,248,74,False,
emily-kramer,Emily Kramer,Emily Kramer.txt,195,33,False,
eoghan-mccabe,Eoghan McCabe,Eoghan McCabe.txt,167,61,False,
eric-ries,Eric Ries,Eric Ries.txt,264,135,False,
eric-simons,Eric Simons,Eric Simons.txt,254,71,False,
ethan-evans-2-0,Ethan Evans 2.0,Ethan Evans 2.0.txt,236,57,False,
ethan-smith,Ethan Smith,Ethan Smith.txt,314,43,False,
evan-lapointe,Evan LaPointe,Evan LaPointe.txt,243,105,False,
failure,Failure,Failure.txt,124,48,False,
fareed-mosavat,Fareed Mosavat,Fareed Mosavat.txt,177,45,False,
farhan-thawar,Farhan Thawar,Farhan Thawar.txt,255,97,False,
garrett-lord,Garrett Lord,Garrett Lord.txt,178,52,False,
gaurav-misra,Gaurav Misra,Gaurav Misra.txt,290,64,False,
geoff-charles,Geoff Charles,Geoff Charles.txt,160,53,False,
geoffrey-moore,Geoffrey Moore,Geoffrey Moore.txt,163,71,False,
gergely,Gergely,Gergely.txt,134,62,False,
gia-laudi,Gia Laudi,Gia Laudi.txt,184,46,False,
gibson-biddle,Gibson Biddle,Gibson Biddle.txt,1,0,False,
gina-gotthilf,Gina Gotthilf,Gina Gotthilf.txt,276,78,False,
gokul-rajaram,Gokul Rajaram,Gokul Rajaram.txt,170,43,False,
graham-weaver,Graham Weaver,Graham Weaver.txt,163,53,False,
grant-lee,Grant Lee,Grant Lee.txt,312,95,False,
guillermo-rauch,Guillermo Rauch,Guillermo Rauch.txt,225,62,False,
gustaf-alstromer,Gustaf Alstromer,Gustaf Alstromer.txt,187,72,False,
gustav-s-derstr-m,Gustav Söderström,Gustav Söderström.txt,198,62,False,
hamel-husain-shreya-shankar,Hamel Husain & Shreya Shankar,Hamel Husain & Shreya Shankar.txt,380,72,False,
hamilton-helmer,Hamilton Helmer,Hamilton Helmer.txt,132,35,False,
hari-srinivasan,Hari Srinivasan,Hari Srinivasan.txt,229,54,False,
heidi-helfand,Heidi Helfand,Heidi Helfand.txt,131,44,False,
hila-qu,Hila Qu,Hila Qu.txt,231,68,False,
hilary-gridley,Hilary Gridley,Hilary Gridley.txt,381,87,False,
howie-liu,Howie Liu,Howie Liu.txt,267,75,False,
ian-mcallister,Ian McAllister,Ian McAllister.txt,138,51,False,
inbal-s,Inbal S,Inbal S.txt,1,0,False,
interview-q-compilation,Interview Q Compilation,Interview Q Compilation.txt,1,0,False,
itamar-gilad,Itamar Gilad,Itamar Gilad.txt,182,54,False,
ivan-zhao,Ivan Zhao,Ivan Zhao.txt,191,43,False,
jackie-bavaro,Jackie Bavaro,Jackie Bavaro.txt,1,0,False,
jackson-shuttleworth,Jackson Shuttleworth,Jackson Shuttleworth.txt,231,67,False,
jag-duggal,Jag Duggal,Jag Duggal.txt,184,68,False,
jake-knapp-john-zeratsky-2-0,Jake Knapp + John Zeratsky 2.0,Jake Knapp + John Zeratsky 2.0.txt,311,82,False,
